train_name,experiment,test_set,best_model,n_train,n_test,n_features,auroc,auprc,f1,tpr_at_fpr_1pct,tpr_at_fpr_5pct,ece,brier_score
combined_strict,full_plus_transition,ghostbuster_test,random_forest,21499,670,624,0.9902986641831247,0.9923683467916751,0.9546599496221663,0.7390180878552972,0.958656330749354,0.06437313432835823,0.04340058043117744
combined_strict,full_plus_transition,hc3_plus_test,random_forest,21499,266,624,0.9525288376220054,0.9737104016580916,0.8364611260053619,0.6832298136645962,0.8633540372670807,0.1587092731829574,0.13529753550543022
combined_strict,full_plus_transition,all_samples,random_forest,21499,300,624,0.6572666666666667,0.6250884221568442,0.6525679758308157,0.02666666666666667,0.05333333333333334,0.04684444444444444,0.23728237037037037
combined_strict,transition_all,m4_test,random_forest,21499,1965,348,0.9188204991562307,0.9830923702685477,0.9394829612220916,0.4748201438848921,0.6516786570743405,0.02466836301950813,0.075117636415041
combined_strict,transition_all,ghostbuster_test,random_forest,21499,670,348,0.9476219172578775,0.9631975840816237,0.8810679611650486,0.4909560723514212,0.8217054263565892,0.09175621890547264,0.10195580431177446
combined_strict,transition_all,hc3_plus_test,random_forest,21499,266,348,0.9422360248447205,0.9637187310555374,0.8337730870712401,0.577639751552795,0.7080745341614907,0.1660651629072682,0.14660392648287385
combined_strict,transition_all,all_samples,random_forest,21499,300,348,0.5972,0.5751395723013646,0.6204819277108434,0.013333333333333334,0.08666666666666667,0.1047888888888889,0.254187962962963
combined_strict,transition_top20,m4_test,random_forest,21499,1965,20,0.900679456434852,0.9797661695777783,0.9281277728482697,0.43764988009592326,0.6001199040767387,0.022875318066157727,0.08396729997172744
combined_strict,transition_top20,ghostbuster_test,random_forest,21499,670,20,0.9319126012362926,0.9460623259961705,0.8654545454545455,0.3178294573643411,0.7390180878552972,0.08698009950248757,0.1153096351575456
combined_strict,transition_top20,hc3_plus_test,random_forest,21499,266,20,0.9125702454895003,0.9502178774115582,0.8342541436464088,0.6521739130434783,0.6956521739130435,0.12342105263157897,0.14009427736006683
combined_strict,transition_top20,all_samples,random_forest,21499,300,20,0.44195555555555555,0.48485136104282567,0.4229390681003584,0.013333333333333334,0.06666666666666667,0.21305555555555555,0.31519307407407404
combined_strict,transition_top50,m4_test,random_forest,21499,1965,50,0.9243383071320723,0.9852253424282191,0.9394028968371269,0.48860911270983215,0.6612709832134293,0.0196132315521629,0.07404208085948544
combined_strict,transition_top50,ghostbuster_test,random_forest,21499,670,50,0.9384866829192575,0.9536501444383282,0.8799019607843137,0.40310077519379844,0.7881136950904393,0.07559203980099502,0.10423635157545605
combined_strict,transition_top50,hc3_plus_test,random_forest,21499,266,50,0.9444543034605146,0.9653273568875445,0.8602739726027397,0.6770186335403726,0.7142857142857143,0.1447368421052631,0.1291750208855472
combined_strict,transition_top50,all_samples,random_forest,21499,300,50,0.5700000000000001,0.5556421786461501,0.4980544747081712,0.013333333333333334,0.06666666666666667,0.14832222222222224,0.2779904814814815
combined_strict,transition_top100,m4_test,random_forest,21499,1965,100,0.9272824164910495,0.9856503992603943,0.9378863703267589,0.4364508393285372,0.7290167865707434,0.02422222222222216,0.07271860333616058
combined_strict,transition_top100,ghostbuster_test,random_forest,21499,670,100,0.9435313775440327,0.9597201897931064,0.8766788766788767,0.4496124031007752,0.8010335917312662,0.07987064676616919,0.10256567164179103
combined_strict,transition_top100,hc3_plus_test,random_forest,21499,266,100,0.9456669624371488,0.9664031721512454,0.8610354223433242,0.6521739130434783,0.7267080745341615,0.14389724310776944,0.1293016290726817
combined_strict,transition_top100,all_samples,random_forest,21499,300,100,0.6062888888888889,0.5820864500143321,0.5333333333333333,0.013333333333333334,0.07333333333333333,0.11497777777777779,0.2591491851851852
combined_strict,transition_summary_only,m4_test,random_forest,21499,1965,99,0.9238427439866289,0.9849706433879076,0.9399293286219081,0.5599520383693045,0.6714628297362111,0.028944868532654787,0.07451636415040995
combined_strict,transition_summary_only,ghostbuster_test,random_forest,21499,670,99,0.9439879109942386,0.9604500202743724,0.8817733990147784,0.4496124031007752,0.7932816537467701,0.08499999999999998,0.10386336650082918
combined_strict,transition_summary_only,hc3_plus_test,random_forest,21499,266,99,0.9443064182194617,0.9656121942588175,0.8626373626373627,0.639751552795031,0.7329192546583851,0.14264411027568924,0.12994807852965748
combined_strict,transition_summary_only,all_samples,random_forest,21499,300,99,0.5994666666666666,0.5736434000021257,0.5333333333333333,0.02,0.05333333333333334,0.11163333333333335,0.26384337037037037
combined_strict,transition_l1_selected,m4_test,logistic_regression,21499,1965,212,0.9301790890519908,0.9867705722785808,0.9047467346288627,0.5443645083932853,0.7290167865707434,0.11818585375567897,0.10315958421769879
combined_strict,transition_l1_selected,ghostbuster_test,logistic_regression,21499,670,212,0.934962244683668,0.9471740470770511,0.8587412587412587,0.3669250645994832,0.7390180878552972,0.08498653619807492,0.11073208543517245
combined_strict,transition_l1_selected,hc3_plus_test,logistic_regression,21499,266,212,0.919846199349305,0.9530368252178604,0.8466257668711656,0.6770186335403726,0.7080745341614907,0.08375384523723872,0.12495463550406886
combined_strict,transition_l1_selected,all_samples,logistic_regression,21499,300,212,0.5386666666666667,0.5424171165792511,0.2660098522167488,0.02666666666666667,0.09333333333333334,0.35971159850651724,0.3855551502815433
